iter	Logloss
0	0.6572646795
1	0.627612175
2	0.6024788655
3	0.581291286
4	0.5597495154
5	0.5428358904
6	0.5283449108
7	0.5136254808
8	0.4995417654
9	0.4863364495
10	0.4741628079
11	0.4654478272
12	0.4551524127
13	0.4452032475
14	0.4376208766
15	0.4306130927
16	0.423739065
17	0.4115268486
18	0.4074407051
19	0.4019659972
20	0.3941790463
21	0.3857954932
22	0.3792584122
23	0.3727132903
24	0.3665762747
25	0.3612362453
26	0.3572538779
27	0.3511684345
28	0.3462760218
29	0.3401909019
30	0.3342906607
31	0.3287331596
32	0.3263421957
33	0.3229682417
34	0.3177822138
35	0.3132155588
36	0.3071704005
37	0.3047013939
38	0.3006590721
39	0.2958009786
40	0.2897743014
41	0.2866451222
42	0.2860216195
43	0.2812406582
44	0.2779881831
45	0.2748452743
46	0.2714667299
47	0.2686606686
48	0.2639600551
49	0.2617019384
