iter	Passed	Remaining
0	30	1488
1	99	2395
2	142	2230
3	184	2126
4	220	1986
5	284	2083
6	349	2148
7	403	2116
8	475	2164
9	534	2137
10	585	2077
11	631	1998
12	689	1962
13	754	1940
14	826	1928
15	898	1909
16	941	1827
17	980	1742
18	1027	1675
19	1065	1598
20	1108	1531
21	1151	1465
22	1191	1398
23	1238	1341
24	1287	1287
25	1348	1245
26	1409	1200
27	1475	1159
28	1541	1116
29	1597	1064
30	1640	1005
31	1681	945
32	1721	886
33	1778	837
34	1846	791
35	1886	733
36	1934	679
37	1987	627
38	2033	573
39	2076	519
40	2118	464
41	2161	411
42	2174	353
43	2214	302
44	2283	253
45	2338	203
46	2393	152
47	2437	101
48	2485	50
49	2537	0
